Name,max_number_of_traces,labels_to_split,original labels,original_precision,original_simplicity,original_generalization,Xixi number of Clusters found,Xixi Precision,Xixi ARI,use_combined_context,use_frequency,window_size,distance_metric,threshold,Number of Clusters found,Precision Align,ARI,Simplicity,Generalization
feb16-1625/J_1,500,O,"N, O",0.969337624936473,0.7543859649122806,0.8289597489136874,2,0.976532607771448,0,False,False,1,DistanceVariant.SET_DISTANCE,0.5,2,0.969337624936473,0.0128467424806035,0.7692307692307694,0.8168808231854626
feb16-1625/J_1,500,O,"N, O",0.969337624936473,0.7543859649122806,0.8289597489136874,2,0.976532607771448,0,False,False,1,DistanceVariant.SET_DISTANCE,0.6,2,0.969337624936473,0.0128467424806035,0.7692307692307694,0.8172718716684576
feb16-1625/J_1,500,O,"N, O",0.969337624936473,0.7543859649122806,0.8289597489136874,2,0.976532607771448,0,False,False,1,DistanceVariant.SET_DISTANCE,0.7,2,0.969337624936473,0.0128467424806035,0.7692307692307694,0.8172718716684576
feb16-1625/J_1,500,O,"N, O",0.969337624936473,0.7543859649122806,0.8289597489136874,2,0.976532607771448,0,False,False,1,DistanceVariant.SET_DISTANCE,0.8,2,0.969337624936473,0.0128467424806035,0.7692307692307694,0.8168808231854626
feb16-1625/J_1,500,O,"N, O",0.969337624936473,0.7543859649122806,0.8289597489136874,2,0.976532607771448,0,False,False,1,DistanceVariant.SET_DISTANCE,0.9,2,0.969337624936473,0.0128467424806035,0.7692307692307694,0.8168808231854626
feb16-1625/J_1,500,O,"N, O",0.969337624936473,0.7543859649122806,0.8289597489136874,2,0.976532607771448,0,False,False,1,DistanceVariant.SET_DISTANCE,1.0,194,0.969337624936473,0.0,0.6179775280898876,0.0792455866009506
feb16-1625/J_1,500,O,"N, O",0.969337624936473,0.7543859649122806,0.8289597489136874,2,0.976532607771448,0,False,False,1,DistanceVariant.MULTISET_DISTANCE,0.0,2,0.969337624936473,0.0128467424806035,0.7692307692307694,0.8172718716684576
feb16-1625/J_1,500,O,"N, O",0.969337624936473,0.7543859649122806,0.8289597489136874,2,0.976532607771448,0,False,False,1,DistanceVariant.MULTISET_DISTANCE,0.1,2,0.969337624936473,0.0128467424806035,0.7692307692307694,0.8168808231854626
feb16-1625/J_1,500,O,"N, O",0.969337624936473,0.7543859649122806,0.8289597489136874,2,0.976532607771448,0,False,False,1,DistanceVariant.MULTISET_DISTANCE,0.2,2,0.969337624936473,0.0128467424806035,0.7692307692307694,0.8168808231854626
feb16-1625/J_1,500,O,"N, O",0.969337624936473,0.7543859649122806,0.8289597489136874,2,0.976532607771448,0,False,False,1,DistanceVariant.MULTISET_DISTANCE,0.3,2,0.969337624936473,0.0128467424806035,0.7692307692307694,0.8172718716684576
feb16-1625/J_1,500,O,"N, O",0.969337624936473,0.7543859649122806,0.8289597489136874,2,0.976532607771448,0,False,False,1,DistanceVariant.MULTISET_DISTANCE,0.4,2,0.969337624936473,0.0128467424806035,0.7692307692307694,0.8172718716684576
feb16-1625/J_1,500,O,"N, O",0.969337624936473,0.7543859649122806,0.8289597489136874,2,0.976532607771448,0,False,False,1,DistanceVariant.MULTISET_DISTANCE,0.5,2,0.969337624936473,0.0128467424806035,0.7692307692307694,0.8172718716684576
feb16-1625/J_1,500,O,"N, O",0.969337624936473,0.7543859649122806,0.8289597489136874,2,0.976532607771448,0,False,False,1,DistanceVariant.MULTISET_DISTANCE,0.6,2,0.969337624936473,0.0128467424806035,0.7692307692307694,0.8172718716684576
feb16-1625/J_1,500,O,"N, O",0.969337624936473,0.7543859649122806,0.8289597489136874,2,0.976532607771448,0,False,False,1,DistanceVariant.MULTISET_DISTANCE,0.7,2,0.969337624936473,0.0128467424806035,0.7692307692307694,0.8168808231854626
feb16-1625/J_1,500,O,"N, O",0.969337624936473,0.7543859649122806,0.8289597489136874,2,0.976532607771448,0,False,False,1,DistanceVariant.MULTISET_DISTANCE,0.8,2,0.969337624936473,0.0128467424806035,0.7692307692307694,0.8168808231854626
feb16-1625/J_1,500,O,"N, O",0.969337624936473,0.7543859649122806,0.8289597489136874,2,0.976532607771448,0,False,False,1,DistanceVariant.MULTISET_DISTANCE,0.9,2,0.969337624936473,0.0128467424806035,0.7692307692307694,0.8168808231854626
feb16-1625/J_1,500,O,"N, O",0.969337624936473,0.7543859649122806,0.8289597489136874,2,0.976532607771448,0,False,False,1,DistanceVariant.MULTISET_DISTANCE,1.0,194,0.969337624936473,0.0,0.6179775280898876,0.0792455866009506
feb16-1625/J_1,500,O,"N, O",0.969337624936473,0.7543859649122806,0.8289597489136874,2,0.976532607771448,0,False,False,2,DistanceVariant.EDIT_DISTANCE,0.0,2,0.969337624936473,0.0128467424806035,0.7692307692307694,0.8168808231854626
feb16-1625/J_1,500,O,"N, O",0.969337624936473,0.7543859649122806,0.8289597489136874,2,0.976532607771448,0,False,False,2,DistanceVariant.EDIT_DISTANCE,0.1,2,0.969337624936473,0.0128467424806035,0.7692307692307694,0.8172718716684576
feb16-1625/J_1,500,O,"N, O",0.969337624936473,0.7543859649122806,0.8289597489136874,2,0.976532607771448,0,False,False,2,DistanceVariant.EDIT_DISTANCE,0.2,2,0.969337624936473,0.0128467424806035,0.7692307692307694,0.8168808231854626
feb16-1625/J_1,500,O,"N, O",0.969337624936473,0.7543859649122806,0.8289597489136874,2,0.976532607771448,0,False,False,2,DistanceVariant.EDIT_DISTANCE,0.3,2,0.969337624936473,0.0128467424806035,0.7692307692307694,0.8172718716684576
feb16-1625/J_1,500,O,"N, O",0.969337624936473,0.7543859649122806,0.8289597489136874,2,0.976532607771448,0,False,False,2,DistanceVariant.EDIT_DISTANCE,0.4,2,0.969337624936473,0.0128467424806035,0.7692307692307694,0.8172718716684576
feb16-1625/J_1,500,O,"N, O",0.969337624936473,0.7543859649122806,0.8289597489136874,2,0.976532607771448,0,False,False,2,DistanceVariant.EDIT_DISTANCE,0.5,2,0.969337624936473,0.0128467424806035,0.7692307692307694,0.8172718716684576
feb16-1625/J_1,500,O,"N, O",0.969337624936473,0.7543859649122806,0.8289597489136874,2,0.976532607771448,0,False,False,2,DistanceVariant.EDIT_DISTANCE,0.6,2,0.969337624936473,0.0128467424806035,0.7692307692307694,0.8172718716684576
feb16-1625/J_1,500,O,"N, O",0.969337624936473,0.7543859649122806,0.8289597489136874,2,0.976532607771448,0,False,False,2,DistanceVariant.EDIT_DISTANCE,0.7,2,0.969337624936473,0.0128467424806035,0.7692307692307694,0.8168808231854626
feb16-1625/J_1,500,O,"N, O",0.969337624936473,0.7543859649122806,0.8289597489136874,2,0.976532607771448,0,False,False,2,DistanceVariant.EDIT_DISTANCE,0.8,2,0.969337624936473,0.0128467424806035,0.7692307692307694,0.8168808231854626
feb16-1625/J_1,500,O,"N, O",0.969337624936473,0.7543859649122806,0.8289597489136874,2,0.976532607771448,0,False,False,2,DistanceVariant.EDIT_DISTANCE,0.9,2,0.969337624936473,0.0128467424806035,0.7692307692307694,0.8168808231854626
feb16-1625/J_1,500,O,"N, O",0.969337624936473,0.7543859649122806,0.8289597489136874,2,0.976532607771448,0,False,False,2,DistanceVariant.EDIT_DISTANCE,1.0,194,0.969337624936473,0.0,0.6179775280898876,0.0880709758937491
feb16-1625/J_1,500,O,"N, O",0.969337624936473,0.7543859649122806,0.8289597489136874,2,0.976532607771448,0,False,False,2,DistanceVariant.SET_DISTANCE,0.0,2,0.969337624936473,0.0128467424806035,0.7692307692307694,0.8168808231854626
feb16-1625/J_1,500,O,"N, O",0.969337624936473,0.7543859649122806,0.8289597489136874,2,0.976532607771448,0,False,False,2,DistanceVariant.SET_DISTANCE,0.1,2,0.969337624936473,0.0128467424806035,0.7692307692307694,0.8172718716684576
feb16-1625/J_1,500,O,"N, O",0.969337624936473,0.7543859649122806,0.8289597489136874,2,0.976532607771448,0,False,False,2,DistanceVariant.SET_DISTANCE,0.2,2,0.969337624936473,0.0128467424806035,0.7692307692307694,0.8172718716684576
feb16-1625/J_1,500,O,"N, O",0.969337624936473,0.7543859649122806,0.8289597489136874,2,0.976532607771448,0,False,False,2,DistanceVariant.SET_DISTANCE,0.3,2,0.969337624936473,0.0128467424806035,0.7692307692307694,0.8168808231854626
feb16-1625/J_1,500,O,"N, O",0.969337624936473,0.7543859649122806,0.8289597489136874,2,0.976532607771448,0,False,False,2,DistanceVariant.SET_DISTANCE,0.4,2,0.969337624936473,0.0128467424806035,0.7692307692307694,0.8172718716684576
feb16-1625/J_1,500,O,"N, O",0.969337624936473,0.7543859649122806,0.8289597489136874,2,0.976532607771448,0,False,False,2,DistanceVariant.SET_DISTANCE,0.5,2,0.969337624936473,0.0128467424806035,0.7692307692307694,0.8168808231854626
feb16-1625/J_1,500,O,"N, O",0.969337624936473,0.7543859649122806,0.8289597489136874,2,0.976532607771448,0,False,False,2,DistanceVariant.SET_DISTANCE,0.6,2,0.969337624936473,0.0128467424806035,0.7692307692307694,0.8168808231854626
feb16-1625/J_1,500,O,"N, O",0.969337624936473,0.7543859649122806,0.8289597489136874,2,0.976532607771448,0,False,False,2,DistanceVariant.SET_DISTANCE,0.7,2,0.969337624936473,0.0128467424806035,0.7692307692307694,0.8168808231854626
feb16-1625/J_1,500,O,"N, O",0.969337624936473,0.7543859649122806,0.8289597489136874,2,0.976532607771448,0,False,False,2,DistanceVariant.SET_DISTANCE,0.8,2,0.969337624936473,0.0128467424806035,0.7692307692307694,0.8172718716684576
feb16-1625/J_1,500,O,"N, O",0.969337624936473,0.7543859649122806,0.8289597489136874,2,0.976532607771448,0,False,False,2,DistanceVariant.SET_DISTANCE,0.9,2,0.969337624936473,0.0128467424806035,0.7692307692307694,0.8168808231854626
feb16-1625/J_1,500,O,"N, O",0.969337624936473,0.7543859649122806,0.8289597489136874,2,0.976532607771448,0,False,False,2,DistanceVariant.SET_DISTANCE,1.0,194,0.969337624936473,0.0,0.6179775280898876,0.0792455866009506
feb16-1625/J_1,500,O,"N, O",0.969337624936473,0.7543859649122806,0.8289597489136874,2,0.976532607771448,0,False,False,2,DistanceVariant.MULTISET_DISTANCE,0.0,2,0.969337624936473,0.0128467424806035,0.7692307692307694,0.8168808231854626
feb16-1625/J_1,500,O,"N, O",0.969337624936473,0.7543859649122806,0.8289597489136874,2,0.976532607771448,0,False,False,2,DistanceVariant.MULTISET_DISTANCE,0.1,2,0.969337624936473,0.0128467424806035,0.7692307692307694,0.8168808231854626
feb16-1625/J_1,500,O,"N, O",0.969337624936473,0.7543859649122806,0.8289597489136874,2,0.976532607771448,0,False,False,2,DistanceVariant.MULTISET_DISTANCE,0.2,2,0.969337624936473,0.0128467424806035,0.7692307692307694,0.8172718716684576
feb16-1625/J_1,500,O,"N, O",0.969337624936473,0.7543859649122806,0.8289597489136874,2,0.976532607771448,0,False,False,2,DistanceVariant.MULTISET_DISTANCE,0.3,2,0.969337624936473,0.0128467424806035,0.7692307692307694,0.8168808231854626
feb16-1625/J_1,500,O,"N, O",0.969337624936473,0.7543859649122806,0.8289597489136874,2,0.976532607771448,0,False,False,2,DistanceVariant.MULTISET_DISTANCE,0.4,2,0.969337624936473,0.0128467424806035,0.7692307692307694,0.8172718716684576
feb16-1625/J_1,500,O,"N, O",0.969337624936473,0.7543859649122806,0.8289597489136874,2,0.976532607771448,0,False,False,2,DistanceVariant.MULTISET_DISTANCE,0.5,2,0.969337624936473,0.0128467424806035,0.7692307692307694,0.8172718716684576
feb16-1625/J_1,500,O,"N, O",0.969337624936473,0.7543859649122806,0.8289597489136874,2,0.976532607771448,0,False,False,2,DistanceVariant.MULTISET_DISTANCE,0.6,2,0.969337624936473,0.0128467424806035,0.7692307692307694,0.8172718716684576
feb16-1625/J_1,500,O,"N, O",0.969337624936473,0.7543859649122806,0.8289597489136874,2,0.976532607771448,0,False,False,2,DistanceVariant.MULTISET_DISTANCE,0.7,2,0.969337624936473,0.0128467424806035,0.7692307692307694,0.8172718716684576
feb16-1625/J_1,500,O,"N, O",0.969337624936473,0.7543859649122806,0.8289597489136874,2,0.976532607771448,0,False,False,2,DistanceVariant.MULTISET_DISTANCE,0.8,2,0.969337624936473,0.0128467424806035,0.7692307692307694,0.8168808231854626
feb16-1625/J_1,500,O,"N, O",0.969337624936473,0.7543859649122806,0.8289597489136874,2,0.976532607771448,0,False,False,2,DistanceVariant.MULTISET_DISTANCE,0.9,2,0.969337624936473,0.0128467424806035,0.7692307692307694,0.8172718716684576
feb16-1625/J_1,500,O,"N, O",0.969337624936473,0.7543859649122806,0.8289597489136874,2,0.976532607771448,0,False,False,2,DistanceVariant.MULTISET_DISTANCE,1.0,194,0.969337624936473,0.0,0.6179775280898876,0.0792455866009506
feb16-1625/J_1,500,O,"N, O",0.969337624936473,0.7543859649122806,0.8289597489136874,2,0.976532607771448,0,False,False,3,DistanceVariant.EDIT_DISTANCE,0.0,2,0.969337624936473,0.0128467424806035,0.7692307692307694,0.8168808231854626
feb16-1625/J_1,500,O,"N, O",0.969337624936473,0.7543859649122806,0.8289597489136874,2,0.976532607771448,0,False,False,3,DistanceVariant.EDIT_DISTANCE,0.1,2,0.969337624936473,0.0128467424806035,0.7692307692307694,0.8168808231854626
feb16-1625/J_1,500,O,"N, O",0.969337624936473,0.7543859649122806,0.8289597489136874,2,0.976532607771448,0,False,False,3,DistanceVariant.EDIT_DISTANCE,0.2,2,0.969337624936473,0.0128467424806035,0.7692307692307694,0.8168808231854626
feb16-1625/J_1,500,O,"N, O",0.969337624936473,0.7543859649122806,0.8289597489136874,2,0.976532607771448,0,False,False,3,DistanceVariant.EDIT_DISTANCE,0.3,2,0.969337624936473,0.0128467424806035,0.7692307692307694,0.8168808231854626
feb16-1625/J_1,500,O,"N, O",0.969337624936473,0.7543859649122806,0.8289597489136874,2,0.976532607771448,0,False,False,3,DistanceVariant.EDIT_DISTANCE,0.4,2,0.969337624936473,0.0128467424806035,0.7692307692307694,0.8172718716684576
feb16-1625/J_1,500,O,"N, O",0.969337624936473,0.7543859649122806,0.8289597489136874,2,0.976532607771448,0,False,False,3,DistanceVariant.EDIT_DISTANCE,0.5,2,0.969337624936473,0.0128467424806035,0.7692307692307694,0.8168808231854626
feb16-1625/J_1,500,O,"N, O",0.969337624936473,0.7543859649122806,0.8289597489136874,2,0.976532607771448,0,False,False,3,DistanceVariant.EDIT_DISTANCE,0.6,2,0.969337624936473,0.0128467424806035,0.7692307692307694,0.8168808231854626
feb16-1625/J_1,500,O,"N, O",0.969337624936473,0.7543859649122806,0.8289597489136874,2,0.976532607771448,0,False,False,3,DistanceVariant.EDIT_DISTANCE,0.7,2,0.969337624936473,0.0128467424806035,0.7692307692307694,0.8172718716684576
feb16-1625/J_1,500,O,"N, O",0.969337624936473,0.7543859649122806,0.8289597489136874,2,0.976532607771448,0,False,False,3,DistanceVariant.EDIT_DISTANCE,0.8,2,0.969337624936473,0.0128467424806035,0.7692307692307694,0.8168808231854626
feb16-1625/J_1,500,O,"N, O",0.969337624936473,0.7543859649122806,0.8289597489136874,2,0.976532607771448,0,False,False,3,DistanceVariant.EDIT_DISTANCE,0.9,5,0.969337624936473,0.0128467424806035,0.7692307692307694,0.8168808231854626
feb16-1625/J_1,500,O,"N, O",0.969337624936473,0.7543859649122806,0.8289597489136874,2,0.976532607771448,0,False,False,3,DistanceVariant.EDIT_DISTANCE,1.0,194,0.969337624936473,0.0,0.6179775280898876,0.0880709758937491
feb16-1625/J_1,500,O,"N, O",0.969337624936473,0.7543859649122806,0.8289597489136874,2,0.976532607771448,0,False,False,3,DistanceVariant.SET_DISTANCE,0.0,2,0.969337624936473,0.0128467424806035,0.7692307692307694,0.8172718716684576
feb16-1625/J_1,500,O,"N, O",0.969337624936473,0.7543859649122806,0.8289597489136874,2,0.976532607771448,0,False,False,3,DistanceVariant.SET_DISTANCE,0.1,2,0.969337624936473,0.0128467424806035,0.7692307692307694,0.8168808231854626
feb16-1625/J_1,500,O,"N, O",0.969337624936473,0.7543859649122806,0.8289597489136874,2,0.976532607771448,0,False,False,3,DistanceVariant.SET_DISTANCE,0.2,2,0.969337624936473,0.0128467424806035,0.7692307692307694,0.8172718716684576
feb16-1625/J_1,500,O,"N, O",0.969337624936473,0.7543859649122806,0.8289597489136874,2,0.976532607771448,0,False,False,3,DistanceVariant.SET_DISTANCE,0.3,2,0.969337624936473,0.0128467424806035,0.7692307692307694,0.8168808231854626
feb16-1625/J_1,500,O,"N, O",0.969337624936473,0.7543859649122806,0.8289597489136874,2,0.976532607771448,0,False,False,3,DistanceVariant.SET_DISTANCE,0.4,2,0.969337624936473,0.0128467424806035,0.7692307692307694,0.8168808231854626
feb16-1625/J_1,500,O,"N, O",0.969337624936473,0.7543859649122806,0.8289597489136874,2,0.976532607771448,0,False,False,3,DistanceVariant.SET_DISTANCE,0.5,2,0.969337624936473,0.0128467424806035,0.7692307692307694,0.8172718716684576
feb16-1625/J_1,500,O,"N, O",0.969337624936473,0.7543859649122806,0.8289597489136874,2,0.976532607771448,0,False,False,3,DistanceVariant.SET_DISTANCE,0.6,2,0.969337624936473,0.0128467424806035,0.7692307692307694,0.8168808231854626
feb16-1625/J_1,500,O,"N, O",0.969337624936473,0.7543859649122806,0.8289597489136874,2,0.976532607771448,0,False,False,3,DistanceVariant.SET_DISTANCE,0.7,2,0.969337624936473,0.0128467424806035,0.7692307692307694,0.8168808231854626
feb16-1625/J_1,500,O,"N, O",0.969337624936473,0.7543859649122806,0.8289597489136874,2,0.976532607771448,0,False,False,3,DistanceVariant.SET_DISTANCE,0.8,2,0.969337624936473,0.0128467424806035,0.7692307692307694,0.8172718716684576
feb16-1625/J_1,500,O,"N, O",0.969337624936473,0.7543859649122806,0.8289597489136874,2,0.976532607771448,0,False,False,3,DistanceVariant.SET_DISTANCE,0.9,5,0.969337624936473,0.0128467424806035,0.7692307692307694,0.8172718716684576
feb16-1625/J_1,500,O,"N, O",0.969337624936473,0.7543859649122806,0.8289597489136874,2,0.976532607771448,0,False,False,3,DistanceVariant.SET_DISTANCE,1.0,194,0.969337624936473,0.0,0.6179775280898876,0.0792455866009506
feb16-1625/J_1,500,O,"N, O",0.969337624936473,0.7543859649122806,0.8289597489136874,2,0.976532607771448,0,False,False,3,DistanceVariant.MULTISET_DISTANCE,0.0,2,0.969337624936473,0.0128467424806035,0.7692307692307694,0.8168808231854626
feb16-1625/J_1,500,O,"N, O",0.969337624936473,0.7543859649122806,0.8289597489136874,2,0.976532607771448,0,False,False,3,DistanceVariant.MULTISET_DISTANCE,0.1,2,0.969337624936473,0.0128467424806035,0.7692307692307694,0.8168808231854626
feb16-1625/J_1,500,O,"N, O",0.969337624936473,0.7543859649122806,0.8289597489136874,2,0.976532607771448,0,False,False,3,DistanceVariant.MULTISET_DISTANCE,0.2,2,0.969337624936473,0.0128467424806035,0.7692307692307694,0.8168808231854626
feb16-1625/J_1,500,O,"N, O",0.969337624936473,0.7543859649122806,0.8289597489136874,2,0.976532607771448,0,False,False,3,DistanceVariant.MULTISET_DISTANCE,0.3,2,0.969337624936473,0.0128467424806035,0.7692307692307694,0.8168808231854626
feb16-1625/J_1,500,O,"N, O",0.969337624936473,0.7543859649122806,0.8289597489136874,2,0.976532607771448,0,False,False,3,DistanceVariant.MULTISET_DISTANCE,0.4,2,0.969337624936473,0.0128467424806035,0.7692307692307694,0.8172718716684576
feb16-1625/J_1,500,O,"N, O",0.969337624936473,0.7543859649122806,0.8289597489136874,2,0.976532607771448,0,False,False,3,DistanceVariant.MULTISET_DISTANCE,0.5,2,0.969337624936473,0.0128467424806035,0.7692307692307694,0.8172718716684576
feb16-1625/J_1,500,O,"N, O",0.969337624936473,0.7543859649122806,0.8289597489136874,2,0.976532607771448,0,False,False,3,DistanceVariant.MULTISET_DISTANCE,0.6,2,0.969337624936473,0.0128467424806035,0.7692307692307694,0.8168808231854626
feb16-1625/J_1,500,O,"N, O",0.969337624936473,0.7543859649122806,0.8289597489136874,2,0.976532607771448,0,False,False,3,DistanceVariant.MULTISET_DISTANCE,0.7,2,0.969337624936473,0.0128467424806035,0.7692307692307694,0.8172718716684576
feb16-1625/J_1,500,O,"N, O",0.969337624936473,0.7543859649122806,0.8289597489136874,2,0.976532607771448,0,False,False,3,DistanceVariant.MULTISET_DISTANCE,0.8,2,0.969337624936473,0.0128467424806035,0.7692307692307694,0.8168808231854626
feb16-1625/J_1,500,O,"N, O",0.969337624936473,0.7543859649122806,0.8289597489136874,2,0.976532607771448,0,False,False,3,DistanceVariant.MULTISET_DISTANCE,0.9,5,0.969337624936473,0.0128467424806035,0.7692307692307694,0.8172718716684576
feb16-1625/J_1,500,O,"N, O",0.969337624936473,0.7543859649122806,0.8289597489136874,2,0.976532607771448,0,False,False,3,DistanceVariant.MULTISET_DISTANCE,1.0,194,0.969337624936473,0.0,0.6179775280898876,0.0792455866009506
feb16-1625/J_1,500,O,"N, O",0.969337624936473,0.7543859649122806,0.8289597489136874,2,0.976532607771448,0,False,False,4,DistanceVariant.EDIT_DISTANCE,0.0,2,0.969337624936473,0.0128467424806035,0.7692307692307694,0.8172718716684576
feb16-1625/J_1,500,O,"N, O",0.969337624936473,0.7543859649122806,0.8289597489136874,2,0.976532607771448,0,False,False,4,DistanceVariant.EDIT_DISTANCE,0.1,2,0.969337624936473,0.0128467424806035,0.7692307692307694,0.8172718716684576
feb16-1625/J_1,500,O,"N, O",0.969337624936473,0.7543859649122806,0.8289597489136874,2,0.976532607771448,0,False,False,4,DistanceVariant.EDIT_DISTANCE,0.2,2,0.969337624936473,0.0128467424806035,0.7692307692307694,0.8172718716684576
feb16-1625/J_1,500,O,"N, O",0.969337624936473,0.7543859649122806,0.8289597489136874,2,0.976532607771448,0,False,False,4,DistanceVariant.EDIT_DISTANCE,0.3,2,0.969337624936473,0.0128467424806035,0.7692307692307694,0.8172718716684576
feb16-1625/J_1,500,O,"N, O",0.969337624936473,0.7543859649122806,0.8289597489136874,2,0.976532607771448,0,False,False,4,DistanceVariant.EDIT_DISTANCE,0.4,2,0.969337624936473,0.0128467424806035,0.7692307692307694,0.8172718716684576
feb16-1625/J_1,500,O,"N, O",0.969337624936473,0.7543859649122806,0.8289597489136874,2,0.976532607771448,0,False,False,4,DistanceVariant.EDIT_DISTANCE,0.5,2,0.969337624936473,0.0128467424806035,0.7692307692307694,0.8168808231854626
feb16-1625/J_1,500,O,"N, O",0.969337624936473,0.7543859649122806,0.8289597489136874,2,0.976532607771448,0,False,False,4,DistanceVariant.EDIT_DISTANCE,0.6,2,0.969337624936473,0.0128467424806035,0.7692307692307694,0.8168808231854626
feb16-1625/J_1,500,O,"N, O",0.969337624936473,0.7543859649122806,0.8289597489136874,2,0.976532607771448,0,False,False,4,DistanceVariant.EDIT_DISTANCE,0.7,2,0.969337624936473,0.0128467424806035,0.7692307692307694,0.8172718716684576
feb16-1625/J_1,500,O,"N, O",0.969337624936473,0.7543859649122806,0.8289597489136874,2,0.976532607771448,0,False,False,4,DistanceVariant.EDIT_DISTANCE,0.8,3,0.969337624936473,0.0128467424806035,0.7692307692307694,0.8168808231854626
feb16-1625/J_1,500,O,"N, O",0.969337624936473,0.7543859649122806,0.8289597489136874,2,0.976532607771448,0,False,False,4,DistanceVariant.EDIT_DISTANCE,0.9,8,0.969337624936473,0.0006178217117661,0.7391304347826086,0.5875103834208406
feb16-1625/J_1,500,O,"N, O",0.969337624936473,0.7543859649122806,0.8289597489136874,2,0.976532607771448,0,False,False,4,DistanceVariant.EDIT_DISTANCE,1.0,194,0.969337624936473,0.0,0.6179775280898876,0.0880709758937491
